,School Name,School Size,Town Name,Postal Code,Applied EQAO Grades,Academic EQAO Grades,,,0.45542153,0.804139715
,Cochrane HS,163,Cochrane,P0L 1C0,0.09,0.29,,,,
,Englehart HS,148,Englehart,P0J 1H0,0.45,0.81,,,,
2,Hearst HS,26,Hearst,P0L 1N0,,,,,,
3,Iroquois Falls SS,150,Iroquois Falls,P0K 1E0,0.24,0.5,,,,
4,Kapuskasing DHS,161,Kapuskasing,P5N 1C5,0.25,0.62,,,,
5,Kirkland Lake District Composite School,353,Kirkland Lake,P2N 3J5,0.32,0.78,,,,
6,PACE (Adult Continuing Education),50,Timmins,P4N 1E1,,,,,,
7,Roland Michener SS,263,South Porcupine,P0N 1H0,0.35,0.64,,,,
8,Timiskaming District SS,549,New Liskeard,P0J 1P0,0.42,0.84,,,,
9,Timmins H &amp; VS,627,Timmins,P4N 8B2,0.52,0.68,,,,
10,North Shore Adolescent Education School,22,Elliot Lake,P5A 1E8,,,,,,
11,Central Algoma SS,328,Desbarats,P0R 1E0,0.45,0.76,,,,
12,W C Eaket SS,134,Blind River,P0R 1B0,0.34,0.73,,,,
13,Chapleau HS,68,Chapleau,P0M 1K0,0.27,0.63,,,,
14,Elliot Lake SS,292,Elliot Lake,P5A 1E8,0.43,0.76,,,,
15,Hornepayne HS,51,Hornepayne,P0M 1Z0,0.25,0.47,,,,
16,Korah C &amp; VS,754,SaultSte Marie,P6C 5A7,0.46,0.79,,,,
17,Michipicoten HS,98,Wawa,P0S 1K0,0.57,0.65,,,,
18,White Pines C &amp; VS,481,SaultSte Marie,P6A 5K9,0.28,0.74,,,,
19,Confederation SS,462,Val Caron,P3N 1R8,0.38,0.75,,,,
20,Chelmsford Valley District Composite School,197,Chelmsford,P0M 1L0,0.28,0.82,,,,
21,Espanola HS,470,Espanola,P5E 1R7,0.17,0.66,,,,
22,Lasalle SS,658,Sudbury,P3A 2G1,0.37,0.78,,,,
23,Lively DSS,281,Lively,P3Y 1M4,0.35,0.8,,,,
24,Lo-Ellen Park SS,723,Sudbury,P3E 2P8,0.24,0.86,,,,
25,Lockerby Comp S,584,Sudbury,P3E 5T4,0.47,0.81,,,,
26,Manitoulin SS,433,M'Chigeeng,P0P 1G0,0.33,0.74,,,,
27,Sudbury SS,511,Sudbury,P3C 4Y2,0.67,0.79,,,,
28,Barrydowne College,210,Sudbury,P3A 3V8,,,,,,
29,Chippewa SS,656,North Bay,P1B 6G8,0.41,0.79,,,,
30,F J McElligott HS,110,Mattawa,P0H 1V0,0.53,0.76,,,,
31,Parry Sound HS,687,Parry Sound,P2A 1N2,0.44,0.85,,,,
32,Almaguinhighlands SS,472,South River,P0A 1X0,0.38,0.54,,,,
33,Northern SS,194,Sturgeon Falls,P2B 2Z8,0.28,0.64,,,,
34,West Ferris SS,442,North Bay,P1A 2P2,0.44,0.77,,,,
35,Widdifield SS,721,North Bay,P1B 7R2,0.41,0.71,,,,
36,Beaver Brae SS,528,Kenora,P9N 2T7,0.48,0.71,,,,
37,Dryden HS,642,Dryden,P8N 2H4,0.44,0.82,,,,
38,Ignace HS,60,Ignace,P0T 1T0,0.2,0.4,,,,
39,Sioux North High School,510,Sioux Lookout,P8T 1A9,0.18,0.75,,,,
40,Red Lake DHS,259,Red Lake,P0V 2M0,0.57,0.66,,,,
41,Atikokan HS,138,Atikokan,P0T 1C0,0.44,0.93,,,,
42,Fort Frances HS,651,Fort Frances,P9A 3T8,0.42,0.79,,,,
43,Rainy River HS,147,Rainy River,P0W 1L0,0.14,0.64,,,,
44,Lakehead Alternative S,87,Thunder Bay,P7A 5S3,,,,,,
45,Hammarskjold HS,791,Thunder Bay,P7B 4W8,0.39,0.82,,,,
46,Sir Winston Churchill C &amp; VI,,Thunder Bay,P7C 1V5,0.36,0.95,,,,
47,Westgate C &amp; VI,829,Thunder Bay,P7E 2V9,0.43,0.72,,,,
48,Lakehead Adult Education Centre,N/D,Thunder Bay,P7E 2A3,,,,,,
49,Geraldton Comp S,213,Geraldton,P0T 1M0,0.57,0.8,,,,
50,Manitouwadge HS,86,Manitouwadge,P0T 2C0,0.25,0.28,,,,
51,Marathon HS,178,Marathon,P0T 2E0,0.38,0.68,,,,
52,Nipigon Red Rock DHS,144,Red Rock,P0T 2P0,0.58,0.63,,,,
53,Lake Superior HS,89,Terrace Bay,P0T 2W0,0.31,0.41,,,,
54,ÉS Cochrane,73,North Bay,P1B 4W2,,,,,,
55,École secondaire publique l'Odyssée,82,North Bay,P1B 0A8,0.24,0.84,,,,
56,ÉS publique L'Alliance,47,Iroquois Falls,P0K 1E0,,0.79,,,,
57,Écho du Nord,62,Kapuskasing,P5N 0A4,0.4,0.76,,,,
58,ÉS Publique Renaissance,94,Timmins,P4R 1N5,0.36,0.61,,,,
59,ÉSP Nipissing Ouest,96,Sturgeon Falls,P2B 2Z8,0.42,0.85,,,,
60,École secondaire l'Orée des Bois,,,,,,,,,
61,ÉS Hanmer,91,Hanmer,P3P 1X5,0.27,0.71,,,,
62,ÉS Macdonald Cartier,313,Sudbury,P3A 1W1,0.35,0.79,,,,
63,ÉS de la Rivière des Français,43,Noelville,P0M 2N0,0.2,0.62,,,,
64,ÉS Château Jeunesse,41,Longlac,P0T 2A0,0.14,0.71,,,,
65,ÉS Cité- Supérieure,17,Marathon,P0T 2E0,,,,,,
66,École Cap sur l'Avenir,35,Sudbury,P3E 1C5,,,,,,
67,Villa Française des Jeunes,28,Elliot Lake,P5A 2M3,,,,,,
68,O'Gorman HS,446,Timmins,P4N 4M1,0.33,0.68,,,,
69,St Joseph/Scollard Hall SS,809,North Bay,P1B 9R3,0.44,0.87,,,,
70,Holy Angels Learning Centre,57,SaultSte. Marie,P6A 2L2,,,,,,
71,St Basil SS,,SaultSte Marie,P6B 1X5,,,,,,
72,St Mary's College,"1,113",SaultSte Marie,P6B 4K4,0.39,0.73,,,,
73,Bishop Alexander Carter Catholic SS,330,Hanmer,P3P 1E6,0.59,0.86,,,,
74,Marymount Academy,242,Sudbury,P3C 5E7,0.42,0.91,,,,
75,St Benedict Catholic SS,522,Sudbury,P3E 4X5,0.65,0.94,,,,
76,St Charles College,827,Sudbury,P3A 1M8,0.55,0.74,,,,
