id,School Name,School Size,School Town,Postal Code,Applied EQAO Achievement,Academic EQAO Achievement
339,Ajax HS,"1,137",Ajax,L1S 1P2,0.34,0.73
340,Anderson C &amp; VI,866,Whitby,L1N 3V6,0.35,0.85
341,Brock HS,366,Cannington,L0E 1E0,0.47,0.79
343,Donald A. Wilson SS,"1,217",Whitby,L1P 1Y1,0.71,0.9
345,Dunbarton HS,"1,465",Pickering,L1V 1G2,0.42,0.84
346,Eastdale C &amp; VI,"1,023",Oshawa,L1G 6L4,0.39,0.64
347,G L Roberts C &amp; VI,406,Oshawa,L1J 1G5,0.52,0.93
348,Henry Street HS,739,Whitby,L1N 5C7,0.83,0.86
349,J Clarke Richardson Collegiate,"1,758",Ajax,L1T 4G8,0.46,0.87
350,O'Neill C &amp; VI,"1,230",Oshawa,L1G 4T2,0.49,0.82
352,Pickering HS,"1,877",Ajax,L1T 2W7,0.45,0.81
353,Pine Ridge SS,"1,053",Pickering,L1X 1V4,0.34,0.72
354,Port Perry HS,"1,072",Port Perry,L9L 1L7,0.54,0.85
355,R S Mclaughlin C &amp; VI,"1,029",Oshawa,L1J 5P1,0.61,0.88
356,Sinclair SS,"1,379",Whitby,L1R 2K5,0.52,0.85
357,Uxbridge SS,"1,201",Uxbridge,L9P 1K5,0.79,0.89
359,Adam Scott C &amp; VI,911,Peterborough,K9H 6K3,0.43,0.78
360,Bowmanville HS,957,Bowmanville,L1C 2L8,0.55,0.88
361,Campbellford DHS,501,Campbellford,K0L 1L0,0.62,0.83
363,Clarke HS,255,Newcastle,L1B 1L9,0.46,0.84
364,Clarington Central Secondary S,744,Bowmanville,L1C 5N8,0.45,0.77
367,Courtice SS,764,Courtice,L1E 2L8,0.69,0.91
368,Crestwood SS,650,Peterborough,K9J 6X4,0.48,0.87
369,East Northumberland SS,916,Brighton,K0K 1H0,0.53,0.79
370,Kenner C &amp; VI,500,Peterborough,K9J 5J2,0.54,0.93
372,Norwood District HS,248,Norwood,K0L 2V0,0.46,0.62
374,Port Hope HS,302,Port Hope,L1A 2A3,0.45,0.7
375,Thomas A Stewart SS,"1,135",Peterborough,K9H 2H2,0.41,0.77
377,Bracebridge and Muskoka Lakes SS,808,Bracebridge,P1L 2E9,0.69,0.89
378,Fenelon Falls SS,652,Fenelon Falls,K0M 1N0,0.4,0.83
379,Gravenhurst HS,334,Gravenhurst,P1P 1X7,0.61,0.9
380,Haliburton Highlands SS,459,Haliburton,K0M 1S0,0.53,0.83
381,Huntsville HS,864,Huntsville,P1H 2A2,0.5,0.82
382,I E Weldon SS,"1,053",Lindsay,K9V 4R6,0.47,0.82
383,Lindsay C &amp; VI,609,Lindsay,K9V 2Z5,0.66,0.75
385,Aurora HS,"1,367",Aurora,L4G 2P4,0.58,0.94
386,Bayview SS,"1,809",Richmond Hill,L4C 2L4,0.53,0.95
387,Pierre Elliott Trudeau HS,"1,891",Markham,L6C 2E6,0.45,0.96
388,Alexander Mackenzie HS,"1,081",Richmond Hill,L4C 3S3,0.38,0.88
389,Dr John M Denison SS,843,Newmarket,L3Y 8J7,0.4,0.87
390,Dr G W Williams SS,769,Aurora,L4G 1A2,0.28,0.91
391,Emily Carr Secondary S,"1,663",Woodbridge,L4H 3C2,0.42,0.84
392,Huron Heights SS,"1,235",Newmarket,L3Y 3J9,0.36,0.84
393,Keswick High School,920,Keswick,L4P 3L5,0.41,0.72
394,King City SS,995,King City,L7B 1K2,0.46,0.84
395,Langstaff SS,873,Richmond Hill,L4C 6M1,0.36,0.85
396,Markville SS,"1,424",Markham,L3P 7P5,0.63,0.97
397,Markham DHS,"1,567",Markham,L3P 2M3,0.41,0.89
398,Middlefield CI,"1,403",Markham,L3S 3L5,0.71,0.92
399,Milliken Mills HS,"1,003",Unionville,L3R 9S5,0.51,0.94
400,Newmarket HS,"1,361",Newmarket,L3Y 8H1,0.58,0.89
401,Bur Oak Secondary S,"1,580",Markham,L6E 1G4,0.62,0.97
402,Richmond Hill High School,"1,709",Richmond Hill,L4S 1A2,0.53,0.93
403,Bill Crothers Secondary S,"1,497",Unionville,L3R 2E4,0.71,0.86
404,Sir William Mulock SS,"1,294",Newmarket,L3X 2M7,0.56,0.84
405,Stouffville District SS,"1,212",Stouffville,L4A 0A4,0.49,0.87
406,Stephen Lewis SS,"1,440",Thornhill,L4J 8X2,0.46,0.91
407,Sutton DHS,505,Sutton,L0E 1R0,0.4,0.58
